icao,iata,name,city,subd,country,lat,lon,lid
06NV,,Silver Creek Airport,Baker,Nevada,US,39.09833,-114.15028,06NV
06NY,,Murphy Field,Auburn,New York,US,42.84278,-76.44528,06NY
06OH,,Hal Joy Airfield,Williamsfield,Ohio,US,41.50978,-80.59119,06OH
06OI,,Green Acres Airport,New Lebanon,Ohio,US,39.73478,-84.38222,06OI
NULL,,Hayden Mountain Airport,Forest Grove,US-OR,US,45.4650993347168,-123.08000183105469,06OR
06PA,,Freefall Oz Airport,Ceres,Pennsylvania,US,41.996,-78.2865,06PA
06TA,,Glaser Field,Buckholts,Texas,US,30.90852,-97.11694,06TA
06TE,,Cavok Airpark,Cleveland,Texas,US,30.31296,-95.02728,06TE
06TN,,Hunter Airport,Columbia,Tennessee,US,35.69729,-86.95695,06TN
06TT,,6 Mile Airpark,Fort Mckavett,Texas,US,30.86002,-100.202,06TT
06TX,,Diamond N Ranch Airport,Hockley,Texas,US,30.05755,-95.81289,06TX
06VA,,Mount Horeb Field,Grottoes,Virginia,US,38.24902,-78.8553,06VA
06WN,,Western Airpark,Yelm,Washington,US,46.92498,-122.55304,06WN
06XA,,J & W Windy Hill Airport,Van Alstyne,Texas,US,33.44598,-96.5708,06XA
06XS,,Campbell Field,Aubrey,Texas,US,33.32472,-97.04417,06XS
K06Y,,Herman Municipal Airport,Herman,Minnesota,US,45.82996,-96.16061,06Y
07AA,,Pan Lake Strip,Willow,Alaska,US,61.69596,-149.9549,07AA
07AN,,Bro Majors Airfield,Trapper Creek,Alaska,US,62.82556,-149.91081,07AN
07AR,,Morrilton Airport,Morrilton,Arkansas,US,35.19453,-92.80017,07AR
NULL,,Blue Hill Airport,Blue Hill,US-ME,US,44.448001861572266,-68.5697021484375,07B
07CL,,Richvale Airport,Richvale,California,US,39.49766,-121.77136,07CL
07CO,,Comanche Creek Airport,Kiowa,Colorado,US,39.26361,-104.42694,07CO
07FA,OCA,Ocean Reef Club Airport,Key Largo,Florida,US,25.32432,-80.27573,07FA
07GA,,Alcovy Airport,Covington,Georgia,US,33.675,-83.76306,07GA
07GE,,Pope Pate Field,Ocilla,Georgia,US,31.55566,-83.27849,07GE
07IA,,Hoskins Landing Airport,Shambaugh,Iowa,US,40.64789,-95.02135,07IA
07IN,,Gray Airport,Boggstown,Indiana,US,39.57366,-85.91387,07IN
K07K,,Central City Municipal/Larry Reineke Field,Central City,Nebraska,US,41.1,-98.1,07K
07KS,,Heape Field,Augusta,Kansas,US,37.73418,-96.9367,07KS
07KY,,Blue Lick Airport,Louisville,Kentucky,US,38.08062,-85.69329,07KY
07MD,,Baugher's Orchard Airport,Westminster,Maryland,US,39.6,-77.0,07MD
NULL,,Scott Airstrip,Lake,US-MI,US,43.864200592041016,-85.0239028930664,07MI
NULL,,Dairyview Airport,Hadley,US-MN,US,44.05500030517578,-95.90950012207031,07MN
07MO,,Lake Sexton Airport,Warrensburg,Missouri,US,38.65001,-93.61688,07MO
07MT,,Glasgow Industrial Airport,Glasgow,Montana,US,48.4211,-106.52772,07MT
K07N,,Bermudian Valley Airpark,Kralltown,Pennsylvania,US,40.01676,-77.00387,07N
07NC,,Hawks Meadow Airport,Waxhaw,North Carolina,US,34.8332,-80.75118,07NC
07NV,,Border Line Farm Airport,Baker,Nevada,US,39.10222,-114.05333,07NV
07OK,,Pleasant Valley Airport,Snyder,Oklahoma,US,34.6334,-99.03369,07OK
